[Wed Oct 05 21:46:03.201159 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP Stack trace:, referer: http://test.local/
[Wed Oct 05 21:46:03.201163 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   1. {main}() /home/tania/projects/test/add/index.php:0, referer: http://test.local/
[Wed Oct 05 21:46:03.201167 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   2. mysql_query() /home/tania/projects/test/add/index.php:59, referer: http://test.local/
[Wed Oct 05 21:46:03.201179 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP Warning:  mysql_numrows() expects parameter 1 to be resource, boolean given in /home/tania/projects/test/add/index.php on line 60, referer: http://test.local/
[Wed Oct 05 21:46:03.201182 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP Stack trace:, referer: http://test.local/
[Wed Oct 05 21:46:03.201187 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   1. {main}() /home/tania/projects/test/add/index.php:0, referer: http://test.local/
[Wed Oct 05 21:46:03.201191 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   2. mysql_numrows() /home/tania/projects/test/add/index.php:60, referer: http://test.local/
[Wed Oct 05 21:46:03.201490 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP Warning:  mysql_query(): Access denied for user 'www-data'@'localhost' (using password: NO) in /home/tania/projects/test/add/index.php on line 78, referer: http://test.local/
[Wed Oct 05 21:46:03.201502 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP Stack trace:, referer: http://test.local/
[Wed Oct 05 21:46:03.201508 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   1. {main}() /home/tania/projects/test/add/index.php:0, referer: http://test.local/
[Wed Oct 05 21:46:03.201513 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   2. mysql_query() /home/tania/projects/test/add/index.php:78, referer: http://test.local/
[Wed Oct 05 21:46:03.201528 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP Warning:  mysql_query(): A link to the server could not be established in /home/tania/projects/test/add/index.php on line 78, referer: http://test.local/
[Wed Oct 05 21:46:03.201532 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP Stack trace:, referer: http://test.local/
[Wed Oct 05 21:46:03.201537 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   1. {main}() /home/tania/projects/test/add/index.php:0, referer: http://test.local/
[Wed Oct 05 21:46:03.201541 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   2. mysql_query() /home/tania/projects/test/add/index.php:78, referer: http://test.local/
[Wed Oct 05 21:46:03.201552 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP Warning:  mysql_numrows() expects parameter 1 to be resource, boolean given in /home/tania/projects/test/add/index.php on line 79, referer: http://test.local/
[Wed Oct 05 21:46:03.201556 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP Stack trace:, referer: http://test.local/
[Wed Oct 05 21:46:03.201560 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   1. {main}() /home/tania/projects/test/add/index.php:0, referer: http://test.local/
[Wed Oct 05 21:46:03.201565 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   2. mysql_numrows() /home/tania/projects/test/add/index.php:79, referer: http://test.local/
[Wed Oct 05 21:46:03.201572 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in /home/tania/projects/test/add/index.php on line 81, referer: http://test.local/
[Wed Oct 05 21:46:03.201576 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP Stack trace:, referer: http://test.local/
[Wed Oct 05 21:46:03.201580 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   1. {main}() /home/tania/projects/test/add/index.php:0, referer: http://test.local/
[Wed Oct 05 21:46:03.201585 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   2. mysql_fetch_array() /home/tania/projects/test/add/index.php:81, referer: http://test.local/
[Wed Oct 05 21:46:03.201996 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in /home/tania/projects/test/add/index.php on line 108, referer: http://test.local/
[Wed Oct 05 21:46:03.202011 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP Stack trace:, referer: http://test.local/
[Wed Oct 05 21:46:03.202019 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   1. {main}() /home/tania/projects/test/add/index.php:0, referer: http://test.local/
[Wed Oct 05 21:46:03.202027 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   2. mysql_fetch_array() /home/tania/projects/test/add/index.php:108, referer: http://test.local/
[Wed Oct 05 21:46:03.202314 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP Warning:  mysql_query(): Access denied for user 'www-data'@'localhost' (using password: NO) in /home/tania/projects/test/add/index.php on line 198, referer: http://test.local/
[Wed Oct 05 21:46:03.202328 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP Stack trace:, referer: http://test.local/
[Wed Oct 05 21:46:03.202335 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   1. {main}() /home/tania/projects/test/add/index.php:0, referer: http://test.local/
